Release,Gross,Theaters,openingGross,openingTheaters,IMDb_Rating,IMDb_numVotes,rt_audiencescore,rt_tomatometerscores
Barbie,636225983,4337,162022044,4243,6.9,519151,83,88
The Super Mario Bros. Movie,574934330,4371,146361865,4343,7.0,233346,95,59
Guardians of the Galaxy Vol. 3,358995815,4450,118414021,4450,7.9,375747,94,82
Avatar: The Way of Water,283067859,4340,134100226,4202,7.6,489321,92,76
John Wick: Chapter 4,187131806,3855,73817950,3855,7.7,329035,93,94
Sound of Freedom,184177725,3411,19680879,2852,7.7,111445,99,57
Taylor Swift: The Eras Tour,179817571,3855,93224755,3855,8.1,19326,98,99
Indiana Jones and the Dial of Destiny,174480468,4600,60368101,4600,6.5,194917,88,70
Mission: Impossible - Dead Reckoning Part One,172135383,4327,54688347,4327,7.7,241130,94,96
Transformers: Rise of the Beasts,157066392,3680,61045464,3678,6.0,101872,91,52
Creed III,156248615,4007,58370007,4007,6.7,91806,95,88
Elemental,154426697,4035,29602429,4035,7.0,122647,60,100
Fast X,146126015,4088,67017410,4046,5.8,117277,84,56
Five Nights at Freddy's,137275620,3789,80001720,3675,5.5,90576,87,32
Wonka,133129902,4213,39005800,4203,7.1,123106,91,82
Puss in Boots: The Last Wish,130425380,4121,12429515,4099,7.8,172361,94,95
Teenage Mutant Ninja Turtles: Mutant Mayhem,118613586,3950,28007544,3858,7.2,61841,90,95
Scream VI,108161389,3676,44447270,3675,6.5,117888,91,76
Trolls Band Together,96370205,3893,30002525,3870,6.0,12349,92,62
M3GAN,95159005,3628,30429860,3509,6.4,140668,78,93
The Equalizer 3,92373751,3965,34604229,3965,6.8,107308,94,76
The Nun II,86267073,3743,32603336,3728,5.6,57195,73,52
The Marvels,84479155,4030,46110859,4030,5.6,119140,82,62
Meg 2: The Trench,82600317,3604,30002735,3503,5.0,76536,73,27
Insidious: The Red Door,82156962,3188,33013036,3188,5.5,49559,70,38
Aquaman and the Lost Kingdom,76469713,3787,27686211,3706,5.6,74807,81,34
Blue Beetle,72488072,3871,25030225,3871,6.0,92268,91,78
