Release,Gross,Theaters,Release Date,Info_url,uid,openingGross,openingTheaters,IMDb_Rating,IMDb_numVotes,rt_audiencescore,rt_tomatometerscores
Barbie,"$636,225,983","4,337",Jul 21,/release/rl1077904129/?ref_=bo_yld_table_1,tt1517268,"$162,022,044","4,243",6.9,519151,83,88
The Super Mario Bros. Movie,"$574,934,330","4,371",Apr 5,/release/rl1930593025/?ref_=bo_yld_table_2,tt6718170,"$146,361,865","4,343",7.0,233346,95,59
Spider-Man: Across the Spider-Verse,"$381,311,319","4,332",Jun 2,/release/rl2812183041/?ref_=bo_yld_table_3,tt9362722,"$120,663,589","4,313",8.6,359464,unknown,unknown
Guardians of the Galaxy Vol. 3,"$358,995,815","4,450",May 5,/release/rl2977202945/?ref_=bo_yld_table_4,tt6791350,"$118,414,021","4,450",7.9,375747,94,82
Oppenheimer,"$326,101,370","3,761",Jul 21,/release/rl3725886209/?ref_=bo_yld_table_5,tt15398776,"$82,455,420","3,610",8.3,691041,unknown,unknown
The Little Mermaid,"$298,172,056","4,320",May 26,/release/rl1913750273/?ref_=bo_yld_table_6,tt5971474,"$95,578,040","4,320",7.2,154407,54,
Avatar: The Way of Water,"$283,067,859","4,340",Dec 16,/release/rl3372254721/?ref_=bo_yld_table_7,tt1630029,"$134,100,226","4,202",7.6,489321,92,76
Ant-Man and the Wasp: Quantumania,"$214,504,909","4,345",Feb 17,/release/rl3195306753/?ref_=bo_yld_table_8,tt10954600,"$106,109,650","4,345",6.1,225335,unknown,unknown
John Wick: Chapter 4,"$187,131,806","3,855",Mar 24,/release/rl1644725761/?ref_=bo_yld_table_9,tt10366206,"$73,817,950","3,855",7.7,329035,93,94
Sound of Freedom,"$184,177,725","3,411",Jul 4,/release/rl4254237441/?ref_=bo_yld_table_10,tt7599146,"$19,680,879","2,852",7.7,111445,99,57
Taylor Swift: The Eras Tour,"$179,817,571","3,855",Oct 13,/release/rl4054352641/?ref_=bo_yld_table_11,tt28814949,"$93,224,755","3,855",8.1,19326,98,99
Indiana Jones and the Dial of Destiny,"$174,480,468","4,600",Jun 30,/release/rl2776598017/?ref_=bo_yld_table_12,tt1462764,"$60,368,101","4,600",6.5,194917,88,70
Mission: Impossible - Dead Reckoning Part One,"$172,135,383","4,327",Jul 12,/release/rl1896449537/?ref_=bo_yld_table_13,tt9603212,"$54,688,347","4,327",7.7,241130,94,96
The Hunger Games: The Ballad of Songbirds & Snakes,"$159,719,625","3,776",Nov 17,/release/rl1262387969/?ref_=bo_yld_table_14,tt10545296,"$44,607,143","3,776",6.8,108471,unknown,unknown
Transformers: Rise of the Beasts,"$157,066,392","3,680",Jun 9,/release/rl1606320641/?ref_=bo_yld_table_15,tt5090568,"$61,045,464","3,678",6.0,101872,91,52
Creed III,"$156,248,615","4,007",Mar 3,/release/rl1713734401/?ref_=bo_yld_table_16,tt11145118,"$58,370,007","4,007",6.7,91806,95,88
Elemental,"$154,426,697","4,035",Jun 16,/release/rl1811383041/?ref_=bo_yld_table_17,tt15789038,"$29,602,429","4,035",7.0,122647,60,100
Fast X,"$146,126,015","4,088",May 19,/release/rl209683969/?ref_=bo_yld_table_18,tt5433140,"$67,017,410","4,046",5.8,117277,84,56
Five Nights at Freddy's,"$137,275,620","3,789",Oct 27,/release/rl764248833/?ref_=bo_yld_table_19,tt4589218,"$80,001,720","3,675",5.5,90576,87,32
Wonka,"$133,129,902","4,213",Dec 15,/release/rl2942927617/?ref_=bo_yld_table_20,tt6166392,"$39,005,800","4,203",7.1,123106,91,82
Puss in Boots: The Last Wish,"$130,425,380","4,121",Dec 21,/release/rl3899622145/?ref_=bo_yld_table_21,tt3915174,"$12,429,515","4,099",7.8,172361,94,95
Teenage Mutant Ninja Turtles: Mutant Mayhem,"$118,613,586","3,950",Aug 2,/release/rl393904897/?ref_=bo_yld_table_22,tt8589698,"$28,007,544","3,858",7.2,61841,90,95
Scream VI,"$108,161,389","3,676",Mar 10,/release/rl1714914049/?ref_=bo_yld_table_23,tt17663992,"$44,447,270","3,675",6.5,117888,91,76
The Flash,"$108,133,313","4,256",Jun 16,/release/rl2225635841/?ref_=bo_yld_table_24,tt0439572,"$55,043,679","4,234",6.7,206588,,
Trolls Band Together,"$96,370,205","3,893",Nov 17,/release/rl577798913/?ref_=bo_yld_table_25,tt14362112,"$30,002,525","3,870",6.0,12349,92,62
M3GAN,"$95,159,005","3,628",Jan 6,/release/rl1110147841/?ref_=bo_yld_table_26,tt8760708,"$30,429,860","3,509",6.4,140668,78,93
Dungeons & Dragons: Honor Among Thieves,"$93,277,026","3,856",Mar 31,/release/rl1879410177/?ref_=bo_yld_table_27,tt2906216,"$37,205,784","3,855",7.2,221618,unknown,unknown
The Equalizer 3,"$92,373,751","3,965",Sep 1,/release/rl1430029057/?ref_=bo_yld_table_28,tt17024450,"$34,604,229","3,965",6.8,107308,94,76
The Nun II,"$86,267,073","3,743",Sep 8,/release/rl1339523841/?ref_=bo_yld_table_29,tt10160976,"$32,603,336","3,728",5.6,57195,73,52
The Marvels,"$84,479,155","4,030",Nov 10,/release/rl247366145/?ref_=bo_yld_table_30,tt10676048,"$46,110,859","4,030",5.6,119140,82,62
Meg 2: The Trench,"$82,600,317","3,604",Aug 4,/release/rl3090514689/?ref_=bo_yld_table_31,tt9224104,"$30,002,735","3,503",5.0,76536,73,27
Insidious: The Red Door,"$82,156,962","3,188",Jul 7,/release/rl1137607425/?ref_=bo_yld_table_32,tt13405778,"$33,013,036","3,188",5.5,49559,70,38
Aquaman and the Lost Kingdom,"$76,469,713","3,787",Dec 22,/release/rl3003745793/?ref_=bo_yld_table_33,tt9663764,"$27,686,211","3,706",5.6,74807,81,34
Blue Beetle,"$72,488,072","3,871",Aug 18,/release/rl3693445889/?ref_=bo_yld_table_34,tt9362930,"$25,030,225","3,871",6.0,92268,91,78
Haunted Mansion,"$67,653,287","3,740",Jul 28,/release/rl707822337/?ref_=bo_yld_table_35,tt1695843,"$24,082,475","3,740",6.0,42066,31,13
Killers of the Flower Moon,"$67,292,161","3,786",Oct 20,/release/rl629703425/?ref_=bo_yld_table_36,tt5537002,"$23,253,655","3,628",7.6,227258,84,93
Evil Dead Rise,"$67,233,054","3,417",Apr 21,/release/rl1289192193/?ref_=bo_yld_table_37,tt13345606,"$24,504,315","3,402",6.5,134788,76,84
The Exorcist: Believer,"$65,537,395","3,684",Oct 6,/release/rl2047378177/?ref_=bo_yld_table_38,tt12921446,"$26,497,600","3,663",4.8,37191,59,22
PAW Patrol: The Mighty Movie,"$65,231,360","4,027",Sep 29,/release/rl3038479105/?ref_=bo_yld_table_39,tt15837338,"$22,764,354","3,989",6.0,4738,94,71
Cocaine Bear,"$64,670,240","3,571",Feb 24,/release/rl2503901953/?ref_=bo_yld_table_40,tt14209916,"$23,260,790","3,534",5.9,106121,71,66
A Man Called Otto,"$64,228,358","3,957",Dec 30,/release/rl3442377473/?ref_=bo_yld_table_41,tt7405458,"$56,257",4,7.5,155535,97,69
Wish,"$60,609,147","3,900",Nov 22,/release/rl3097657857/?ref_=bo_yld_table_42,tt11304740,"$19,698,228","3,900",5.6,22825,,
Napoleon,"$60,512,228","3,500",Nov 22,/release/rl2710274817/?ref_=bo_yld_table_43,tt13287846,"$20,638,887","3,500",6.4,129123,,
Shazam! Fury of the Gods,"$57,638,006","4,071",Mar 17,/release/rl162234881/?ref_=bo_yld_table_44,tt10151854,"$30,111,158","4,071",5.9,123376,86,49
Migration,"$54,103,955","3,839",Dec 22,/release/rl83920385/?ref_=bo_yld_table_45,tt6495056,"$12,453,275","3,761",6.7,20481,,
Saw X,"$53,607,898","3,262",Sep 29,/release/rl1926595329/?ref_=bo_yld_table_46,tt21807222,"$18,309,301","3,262",6.6,71024,89,80
Air,"$52,460,106","3,507",Apr 5,/release/rl2106295041/?ref_=bo_yld_table_47,tt16419074,"$14,456,279","3,507",7.4,165178,87,
Jesus Revolution,"$52,102,987","2,575",Feb 24,/release/rl466125569/?ref_=bo_yld_table_48,tt10098448,"$15,882,067","2,475",7.1,13509,99,54
No Hard Feelings,"$50,452,282","3,208",Jun 23,/release/rl4174349057/?ref_=bo_yld_table_49,tt15671028,"$15,002,770","3,208",6.4,154681,100,
Talk to Me,"$48,299,436","2,379",Jul 28,/release/rl3548742401/?ref_=bo_yld_table_50,tt10638522,"$10,431,720","2,340",7.1,136783,77,83
Godzilla Minus One,"$45,580,412","2,622",Dec 1,/release/rl1285456641/?ref_=bo_yld_table_51,tt23289160,"$11,419,975","2,308",8.3,46400,98,98
Gran Turismo,"$44,428,554","3,856",Aug 25,/release/rl3788079873/?ref_=bo_yld_table_52,tt4495098,"$17,410,552","3,856",7.2,94096,98,65
The Color Purple,"$44,047,642","3,218",Dec 25,/release/rl577012481/?ref_=bo_yld_table_53,tt1200263,"$11,737,072","3,203",6.9,13653,95,82
The Boogeyman,"$43,244,282","3,205",Jun 2,/release/rl3958932225/?ref_=bo_yld_table_54,tt3427252,"$12,356,486","3,205",5.9,43131,66,60
A Haunting in Venice,"$42,471,412","3,305",Sep 15,/release/rl216040193/?ref_=bo_yld_table_55,tt22687790,"$14,279,529","3,305",6.5,108681,77,76
The Creator,"$40,774,679","3,680",Sep 29,/release/rl3888743169/?ref_=bo_yld_table_56,tt11858890,"$14,079,512","3,680",6.8,153502,,
80 for Brady,"$39,330,588","3,939",Feb 3,/release/rl3470820097/?ref_=bo_yld_table_57,tt18079362,"$12,701,640","3,912",5.8,11110,89,58
The Boy and the Heron,"$35,846,555","2,325",Dec 8,/release/rl4222321409/?ref_=bo_yld_table_58,tt6587046,"$13,011,722","2,205",7.6,47920,88,97
Knock at the Cabin,"$35,397,980","3,657",Feb 3,/release/rl3793191681/?ref_=bo_yld_table_59,tt15679400,"$14,127,170","3,643",6.1,113767,63,67
