Release,rt_audiencescore,rt_tomatometerscores
Renaissance: A Film by Beyoncé,unknown,unknown
Spider-Man: Across the Spider-Verse,unknown,unknown
Dungeons & Dragons: Honor Among Thieves,unknown,unknown
Oppenheimer,unknown,unknown
Titanic25 Year Anniversary,unknown,unknown
Ant-Man and the Wasp: Quantumania,unknown,unknown
The Hunger Games: The Ballad of Songbirds & Snakes,unknown,unknown
Priscilla,63,84
Taylor Swift: The Eras Tour,98,99
The Color Purple,95,82
Five Nights at Freddy's,87,32
Godzilla Minus One,98,98
Plane,94,78
Aquaman and the Lost Kingdom,81,34
M3GAN,78,93
The Equalizer 3,94,76
The Marvels,82,62
The Nightmare Before Christmas30th Anniversary Re-Release,unknown,unknown
Transformers: Rise of the Beasts,91,52
Wonka,91,82
Killers of the Flower Moon,84,93
The Super Mario Bros. Movie,95,59
Saltburn,79,71
The Flash,,
Gran Turismo,98,65
Barbie,83,88
Knock at the Cabin,63,67
The Last Voyage of the Demeter,75,49
About My Father,,
Suzume,98,96
The Blackening,85,87
The Boys in the Boat,97,57
Guardians of the Galaxy Vol. 3,94,82
Guy Ritchie's the Covenant,98,83
The Holdovers,92,97
Air,87,
Sound of Freedom,99,57
The Little Mermaid,54,
Dumb Money,85,84
PAW Patrol: The Mighty Movie,94,71
Missing,56,
My Big Fat Greek Wedding 3,71,30
Salaar,unknown,unknown
The Boogeyman,66,60
Saw X,89,80
Mission: Impossible - Dead Reckoning Part One,94,96
His Only Son,96,83
John Wick: Chapter 4,93,94
Bottoms,89,90
Scream VI,91,76
Animal,,
Evil Dead Rise,76,84
Puss in Boots: The Last Wish,94,95
Elemental,60,100
Ferrari,,
The Boy and the Heron,88,97
Black Panther: Wakanda Forever,94,83
Talk to Me,77,83
The Shift,65,
Poor Things,79,92
The Nun II,73,52
Indiana Jones and the Dial of Destiny,88,70
65,65,36
Past Lives,84,95
The Machine,,
"Are You There God? It's Me, Margaret.",95,99
Coraline2023 Re-release (remastered),unknown,unknown
The Pope's Exorcist,81,49
After Death,87,47
The Whale,84,86
Blue Beetle,91,78
Fast X,84,56
Whitney Houston: I Wanna Dance with Somebody,92,43
A Man Called Otto,97,69
Creed III,95,88
80 for Brady,89,58
Teenage Mutant Ninja Turtles: Mutant Mayhem,90,95
